,index,ACS_MEDIAN_HH_INC,ACS_MEDIAN_HOME_VALUE,ACS_PCT_EMPLOYED,ACS_PCT_FINANCE,ACS_PCT_GOVT,ACS_PCT_HH_INC_10000,ACS_PCT_HH_INC_100000,ACS_PCT_HH_INC_99999,ACS_PCT_MANUFACT,ACS_PCT_OWNER_HU_COST_30PCT,ACS_PCT_OWNER_HU_COST_50PCT,ACS_PCT_PERSON_INC_ABOVE200,ACS_PCT_PERSON_INC_BELOW99,ACS_PCT_RENTER_HU,ACS_PCT_RENTER_HU_COST_30PCT,ACS_PCT_RENTER_HU_COST_50PCT,ACS_PCT_RETAIL,ACS_PCT_TRANSPORT,ACS_PCT_WORK_NO_CAR,ACS_PER_CAPITA_INC,ACS_TOT_CIVIL_EMPLOY_POP,ACS_GINI_INDEX,ACS_MDN_OWNER_COST_MORTGAGE,ACS_MDN_OWNER_COST_NO_MORTG,ACS_MEDIAN_RENT,ACS_PCT_HEALTH_INC_138_199,ACS_PCT_HEALTH_INC_200_399,ACS_PCT_HEALTH_INC_ABOVE400,ACS_PCT_HEALTH_INC_BELOW137,ACS_PCT_INC50,ACS_PCT_NO_WORK_NO_SCHL_16_19,ACS_PCT_POV_AIAN,ACS_PCT_POV_ASIAN,ACS_PCT_POV_BLACK,ACS_PCT_POV_HISPANIC,ACS_PCT_POV_MULTI,ACS_PCT_POV_NHPI,ACS_PCT_POV_OTHER,ACS_PCT_POV_WHITE,ACS_PCT_UNEMPLOY,ACS_TOT_POP_POV,ACS_MEDIAN_HOME_VALUE,ACS_MEDIAN_RENT,ACS_MEDIAN_YEAR_BUILT,ACS_PCT_10UNITS,ACS_PCT_1UP_OWNER_1ROOM,ACS_PCT_1UP_PERS_1ROOM,ACS_PCT_1UP_RENT_1ROOM,ACS_PCT_HU_BOT_TANK_LP_GAS,ACS_PCT_HU_BUILT_1979,ACS_PCT_HU_COAL,ACS_PCT_HU_ELEC,ACS_PCT_HU_KITCHEN,ACS_PCT_HU_MOBILE_HOME,ACS_PCT_HU_NO_FUEL,ACS_PCT_HU_NO_VEH,ACS_PCT_HU_OIL,ACS_PCT_HU_OTHER,ACS_PCT_HU_PLUMBING,ACS_PCT_HU_SOLAR,ACS_PCT_HU_UTILITY_GAS,POS_DIST_ALC_TRACT,POS_DIST_CLINIC_TRACT,ACS_PCT_BACHELOR_DGR,ACS_PCT_COLLEGE_ASSOCIATE_DGR,ACS_PCT_ENGL_VERY_WELL,ACS_PCT_ENGL_WELL,ACS_PCT_GRADUATE_DGR,ACS_PCT_HS_GRADUATE,ACS_PCT_OTH_EURP,ACS_PCT_OTH_LANG,ACS_PCT_POSTHS_ED,ACS_PCT_SPANISH,ACS_PCT_VET_BACHELOR,ACS_PCT_VET_COLLEGE,ACS_PCT_LT_HS,ACS_PCT_HH_FOOD_STMP,ACS_PCT_HH_FOOD_STMP_BLW_POV,ACS_PCT_HH_NO_FD_STMP_BLW_POV,ACS_PCT_HU_KITCHEN,ACS_PCT_ADMIN,ACS_PCT_AGE_0_17,ACS_PCT_AGE_18_29,ACS_PCT_AGE_ABOVE65,ACS_PCT_CHILDREN_GRANDPARENT,ACS_PCT_CHILD_1FAM,ACS_PCT_CTZ_ABOVE18,ACS_PCT_DISABLE,ACS_PCT_EDUC,ACS_PCT_GOVT,ACS_PCT_GRANDP_RESPS_NO_P,ACS_PCT_GRANDP_RESPS_P,ACS_PCT_HH_FOOD_STMP,ACS_PCT_HH_FOOD_STMP_BLW_POV,ACS_PCT_HH_KID_1PRNT,ACS_PCT_HH_PUB_ASSIST,ACS_PCT_HU_PLUMBING,ACS_PCT_UNEMPLOY,ACS_PCT_UNINSURED,ACS_PCT_VET,ACS_PCT_DIVORCED_F,ACS_PCT_DIVORCED_M,ACS_PCT_FOREIGN_BORN,ACS_PCT_HH_ABOVE65,ACS_PCT_HH_ALONE_ABOVE65,ACS_PCT_HH_NO_COMP_DEV,ACS_PCT_HH_NO_FD_STMP_BLW_POV,ACS_PCT_HH_NO_INTERNET,ACS_PCT_HU_NO_VEH,ACS_PCT_INC50,ACS_PCT_INC50_ABOVE65,ACS_PCT_INC50_BELOW17,ACS_PCT_LT_HS,ACS_PCT_MARRIED_SP_AB_F,ACS_PCT_MARRIED_SP_AB_M,ACS_PCT_NONVET_DISABLE_18_64,ACS_PCT_NOT_LABOR,ACS_PCT_POV_BLACK,ACS_PCT_POV_HISPANIC,ACS_PCT_RENTER_HU_COST_50PCT,ACS_PCT_HEALTH_INC_138_199,ACS_PCT_HEALTH_INC_200_399,ACS_PCT_MEDICAID_ANY,ACS_PCT_MEDICAID_ANY_BELOW64,ACS_PCT_MEDICARE_ONLY,ACS_PCT_PRIVATE_ANY,ACS_PCT_PRIVATE_ANY_BELOW64,ACS_PCT_PRIVATE_EMPL,ACS_PCT_PRIVATE_EMPL_BELOW64,ACS_PCT_PRIVATE_MDCR,ACS_PCT_PRIVATE_MDCR_35_64,ACS_PCT_PRIVATE_OTHER,ACS_PCT_PRIVATE_OTHER_BELOW64,ACS_PCT_PRIVATE_SELF,ACS_PCT_PRIVATE_SELF_BELOW64,ACS_PCT_PUBLIC_OTHER,ACS_PCT_PUBLIC_ONLY,ACS_PCT_PUBLIC_OTHER_BELOW64,ACS_PCT_SELF_MDCR_ABOVE35,ACS_PCT_TRICARE_VA,ACS_PCT_HEALTH_INC_BELOW137,ACS_PCT_UNINSURED,ACS_PCT_UNINSURED_BELOW64,HIFLD_DIST_UC_TRACT,POS_DIST_ALC_TRACT,POS_DIST_CLINIC_TRACT,POS_DIST_ED_TRACT,POS_DIST_MEDSURG_ICU_TRACT,POS_DIST_OBSTETRICS_TRACT,POS_DIST_PED_ICU_TRACT,POS_DIST_TRAUMA_TRACT,YEAR,TRACTFIPS,COUNTYFIPS,STATEFIPS,STATE,COUNTY,REGION,TERRITORY
0,9915,0.19497620221250736,0.15376919219176663,0.8854000000000001,0.049699999999999994,0.1605,0.061900000000000004,0.19399999999999998,0.3157,0.031400000000000004,0.2875,0.09630000000000001,0.5142,0.17370000000000002,0.7381,0.6441,0.3297,0.17350000000000002,0.040999999999999995,0.0268,0.04952754071973953,0.36267677802828446,0.4431818181818182,0.460276781137878,0.24179743223965763,0.35714285714285715,0.192,0.2564,0.2564,0.29510000000000003,0.0616,0.0432,1.0,0.314,0.3148,0.19260000000000002,0.0704,0.0,0.0366,0.1402,0.11460000000000001,0.2985654512851166,0.15376919219176663,0.35714285714285715,0.9821251241310824,0.2404,0.0269,0.08900000000000001,0.11109999999999999,0.0326,0.5512,0.0,0.6476000000000001,0.0,0.013000000000000001,0.0,0.0579,0.0,0.0,0.013999999999999999,0.024781341107871717,0.3079,0.004416376864159074,0.012936520793316517,0.1092,0.47850000000000004,0.1537,0.06570000000000001,0.037599999999999995,0.21559999999999999,0.12442540743836189,0.0034078807241746537,0.6254,0.2073,0.27940000000000004,0.49520000000000003,0.1591,0.1966,0.053399999999999996,0.11199999999999999,0.0,0.0633,0.2397,0.2359,0.0989,0.0,0.2746,0.6184000000000001,0.1674,0.18539999999999998,0.1605,0.0,0.1361,0.1966,0.053399999999999996,0.16210000000000002,0.1999,0.013999999999999999,0.11460000000000001,0.11109999999999999,0.0693,0.15810000000000002,0.11710000000000001,0.26030000000000003,0.2148,0.0623,0.0679,0.11199999999999999,0.1116,0.0579,0.0616,0.0,0.0588,0.1591,0.0279,0.015,0.1429,0.2827,0.3148,0.19260000000000002,0.3297,0.192,0.2564,0.4048,0.4265,0.0248,0.4065,0.41350000000000003,0.32170000000000004,0.35710000000000003,0.0213,0.005250262513125656,0.0,0.0,0.0435,0.0483,0.007431874483897606,0.4385,0.003,0.0154,0.0053,0.29510000000000003,0.11109999999999999,0.1234,0.004056669824142333,0.004416376864159074,0.012936520793316517,0.004394854180445032,0.0042297189084861304,0.004394854180445032,0.009710893967536138,0.004780226186312231,2020,6067008141,6067,6,California,Sacramento County,West,0
1,28665,0.21491543502678767,0.06864364960437226,0.9702,0.0548,0.1934,0.042699999999999995,0.1313,0.4457,0.1426,0.1955,0.06309999999999999,0.6713,0.0973,0.2231,0.4021,0.1085,0.08470000000000001,0.0321,0.0152,0.055459325198236806,0.22996515679442509,0.42045454545454547,0.22757560225525372,0.2767475035663338,0.1164021164021164,0.08439999999999999,0.3505,0.3207,0.2443,0.0264,0.0109,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09699999999999999,0.0298,0.18610707881478952,0.06864364960437226,0.1164021164021164,0.9821251241310824,0.0222,0.0265,0.068,0.21280000000000002,0.0886,0.5844,0.0,0.40880000000000005,0.0787,0.1197,0.0127,0.0401,0.0063,0.0111,0.0473,0.0,0.3861,0.05673017430820763,0.004443313045289394,0.1186,0.3716,0.0,0.0014000000000000002,0.048600000000000004,0.3801,0.0,0.0,0.5388000000000001,0.0014000000000000002,0.10710000000000001,0.3705,0.08109999999999999,0.0717,0.0454,0.048499999999999995,0.0787,0.0691,0.1974,0.1075,0.2054,0.1938,0.16190000000000002,0.8026000000000001,0.12369999999999999,0.209,0.1934,0.2917,0.0,0.0717,0.0454,0.14029999999999998,0.0717,0.0473,0.0298,0.0567,0.0635,0.1598,0.1984,0.0070999999999999995,0.2975,0.0828,0.0712,0.048499999999999995,0.2716,0.0401,0.0264,0.0058,0.0104,0.08109999999999999,0.0213,0.0265,0.10060000000000001,0.38189999999999996,0.0,0.0,0.1085,0.08439999999999999,0.3505,0.1553,0.19030000000000002,0.0603,0.6596,0.7132,0.529,0.6607,0.0592,0.0,0.0,0.0,0.0278,0.0347,0.0010322047894302231,0.2161,0.0,0.0294,0.0,0.2443,0.0567,0.0708,0.004715621267657839,0.05673017430820763,0.004443313045289394,0.004138843257312312,0.003983327515758783,0.004138843257312312,0.07691997092788501,0.07492130115424973,2020,18055954900,18055,18,Indiana,Greene County,Midwest,0
2,42843,0.3361265767549353,0.2065832094641111,0.9582999999999999,0.0818,0.1999,0.07780000000000001,0.4072,0.2168,0.0254,0.1363,0.053899999999999997,0.7161,0.2434,0.368,0.5985,0.34119999999999995,0.0621,0.011399999999999999,0.0058,0.09693483616100791,0.19788891166222586,0.625,0.40235776524859046,0.42582025677603424,0.2501469723691946,0.0252,0.2045,0.5115999999999999,0.2587,0.20309999999999997,0.2248,0.0,0.2621,0.5181,0.0,0.0,0.0,0.0,0.15869999999999998,0.0417,0.1845273674323286,0.2065832094641111,0.2501469723691946,0.9841112214498511,0.08529999999999999,0.0,0.0435,0.11810000000000001,0.0129,0.4293,0.0,0.556,0.091,0.0175,0.0073,0.0508,0.0,0.0,0.025099999999999997,0.0,0.4189,0.050478974205798895,0.0029853509523038117,0.23199999999999998,0.1263,0.029500000000000002,0.009899999999999999,0.4572,0.10949999999999999,0.01995403259506895,0.008732694355697549,0.8155,0.011399999999999999,0.6977,0.0,0.0751,0.060599999999999994,0.060599999999999994,0.0925,0.091,0.0621,0.2811,0.16449999999999998,0.1616,0.0096,0.4535,0.6998000000000001,0.1104,0.5085000000000001,0.1999,1.0,0.0,0.060599999999999994,0.060599999999999994,0.1366,0.0765,0.025099999999999997,0.0417,0.0652,0.04019999999999999,0.075,0.09970000000000001,0.0392,0.3111,0.1439,0.03,0.0925,0.0661,0.0508,0.20309999999999997,0.0222,0.3453,0.0751,0.1,0.039599999999999996,0.0971,0.39740000000000003,0.5181,0.0,0.34119999999999995,0.0252,0.2045,0.1863,0.2097,0.023799999999999998,0.6583,0.6754000000000001,0.5005,0.6007,0.08070000000000001,0.0,0.0,0.0,0.056900000000000006,0.0683,0.03303055326176714,0.2261,0.0192,0.0148,0.0,0.2587,0.0652,0.0783,0.004139038754581772,0.050478974205798895,0.0029853509523038117,0.004224180231689885,0.004065457980001232,0.004224180231689885,0.0579423403052572,0.00459368077416346,2020,28071950201,28071,28,Mississippi,Lafayette County,South,0
3,66029,0.2385556480351674,0.1217591741113828,0.9431,0.0231,0.0761,0.1618,0.30219999999999997,0.254,0.0717,0.22210000000000002,0.1761,0.6106,0.2165,0.4986,0.34,0.2522,0.083,0.0336,0.45630000000000004,0.07614907898015794,0.2531256405001025,0.5113636363636364,0.34315735520246027,0.24607703281027105,0.29129923574368016,0.08470000000000001,0.26030000000000003,0.3503,0.30469999999999997,0.1471,0.0,0.0,0.40259999999999996,0.6754000000000001,0.0,0.0,0.0,0.0,0.25379999999999997,0.056900000000000006,0.17235932029715653,0.1217591741113828,0.29129923574368016,0.0,0.0146,0.0,0.0,0.0,0.0115,0.8896999999999999,0.0,0.09759999999999999,0.0,0.0,0.0,0.3971,0.0269,0.0,0.0096,0.0,0.8640000000000001,0.0005120436943952551,0.0006016986415496054,0.2112,0.1772,0.12210000000000001,0.0682,0.1409,0.2484,0.07532386126201421,0.0035143769968051116,0.5292,0.1527,0.08199999999999999,0.08199999999999999,0.2224,0.1925,0.0883,0.1042,0.0,0.0344,0.1243,0.22190000000000001,0.1343,0.0139,0.5818,0.7495999999999999,0.1422,0.2409,0.0761,0.0,0.0,0.1925,0.0883,0.2759,0.1925,0.0096,0.056900000000000006,0.1139,0.0345,0.0647,0.0781,0.218,0.26,0.0911,0.10369999999999999,0.1042,0.1108,0.3971,0.1471,0.0203,0.3665,0.2224,0.0824,0.0645,0.0721,0.2658,0.6754000000000001,0.0,0.2522,0.08470000000000001,0.26030000000000003,0.2445,0.2664,0.0429,0.5526,0.5611,0.42310000000000003,0.4858,0.0292,0.005425271263563178,0.0,0.0,0.0562,0.061799999999999994,0.0,0.2874,0.0,0.0352,0.0,0.30469999999999997,0.1139,0.1316,0.0073308348091100034,0.0005120436943952551,0.0006016986415496054,0.0005973588206430141,0.0005338480175759194,0.0005973588206430141,0.0036743923120407013,0.004220589949865921,2020,42101004001,42101,42,Pennsylvania,Philadelphia County,Northeast,0
4,38595,0.16450372118205106,0.027286907249339448,0.8984000000000001,0.0,0.0,0.11810000000000001,0.0148,0.23,0.0565,0.2579,0.14150000000000001,0.3932,0.1151,0.32909999999999995,0.47950000000000004,0.1164,0.3214,0.3393,0.0197,0.03793972620647676,0.03443328550932568,0.3522727272727273,0.16453100973859558,0.13338088445078458,0.2019400352733686,0.22390000000000002,0.3343,0.046799999999999994,0.395,0.043899999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1527,0.1016,0.043762274784390744,0.027286907249339448,0.2019400352733686,0.9751737835153923,0.0,0.0,0.0,0.0,0.0,0.8819,0.0,0.1519,0.0,0.0218,0.0,0.0338,0.0,0.0,0.0,0.0,0.8481000000000001,0.0940880288451281,0.001758811413760385,0.061500000000000006,0.5013000000000001,0.06480000000000001,0.1358,0.0256,0.359,0.019327204346009194,0.007667731629392971,0.5885,0.1677,0.0891,0.8218000000000001,0.0526,0.1329,0.021099999999999997,0.135,0.0,0.0,0.20489999999999997,0.14730000000000001,0.3171,0.0,0.5238,0.721,0.198,0.0506,0.0,0.0,0.1361,0.1329,0.021099999999999997,0.1582,0.17300000000000001,0.0,0.1016,0.16920000000000002,0.127,0.1659,0.1319,0.1024,0.4473,0.1435,0.0781,0.135,0.12029999999999999,0.0338,0.043899999999999995,0.07690000000000001,0.0,0.0526,0.0737,0.016200000000000003,0.1485,0.523,0.0,0.0,0.1164,0.22390000000000002,0.3343,0.2348,0.3368,0.0687,0.3522,0.3544,0.192,0.2838,0.08960000000000001,0.025726286314315713,0.020738933426280932,0.03015764222069911,0.0259,0.0382,0.0,0.3144,0.0,0.032799999999999996,0.0109,0.395,0.16920000000000002,0.25,0.003521271776285985,0.0940880288451281,0.001758811413760385,0.02927058221150769,0.08985072788123935,0.02927058221150769,0.1534967293870629,0.10978197504955113,2020,26069000102,26069,26,Michigan,Iosco County,Midwest,0
5,17720,0.470032565393411,0.19311588631569215,0.9609000000000001,0.0926,0.1611,0.0,0.5571,0.2766,0.0259,0.16449999999999998,0.07150000000000001,0.9242,0.0281,0.0922,0.3958,0.1042,0.062,0.0704,0.004699999999999999,0.11300825629230789,0.11067841770854683,0.42045454545454547,0.5512557662737058,0.42082738944365194,0.403586125808348,0.0331,0.1446,0.7796,0.042699999999999995,0.0095,0.069,0.0,0.0,0.0,0.049800000000000004,0.0,0.0,0.10529999999999999,0.0271,0.0391,0.0850482452395184,0.19311588631569215,0.403586125808348,0.9900695134061569,0.0,0.0086,0.0078000000000000005,0.0,0.015600000000000001,0.061,0.0,0.6091,0.0,0.0,0.0078000000000000005,0.006500000000000001,0.015600000000000001,0.0,0.0,0.0,0.3519,0.009984852040707475,0.007197241443151049,0.3613,0.2525,0.1109,0.0405,0.2116,0.1518,0.04063936481404096,0.0062832800851970174,0.8254,0.0885,0.5592,0.1316,0.022799999999999997,0.006500000000000001,0.0,0.015600000000000001,0.0,0.0361,0.2194,0.0793,0.1637,0.0252,0.1268,0.754,0.135,0.2241,0.1611,0.0,0.0,0.006500000000000001,0.0,0.10779999999999999,0.006500000000000001,0.0,0.0391,0.0397,0.0977,0.09210000000000002,0.07519999999999999,0.1451,0.3065,0.0883,0.022099999999999998,0.015600000000000001,0.044199999999999996,0.006500000000000001,0.0095,0.0184,0.0,0.022799999999999997,0.0,0.032400000000000005,0.122,0.2953,0.0,0.049800000000000004,0.1042,0.0331,0.1446,0.0,0.0,0.0708,0.8243,0.9087999999999999,0.634,0.7545000000000001,0.0397,0.004200210010500525,0.012199372603694665,0.01439342015078821,0.0828,0.099,0.012386457473162676,0.09539999999999998,0.0,0.0236,0.018600000000000002,0.042699999999999995,0.0397,0.047400000000000005,0.006445368806886043,0.009984852040707475,0.007197241443151049,0.010027094489364879,0.009650329548487773,0.010027094489364879,0.02580150205927481,0.029777311414247404,2020,12057011519,12057,12,Florida,Hillsborough County,South,0
6,58600,0.16098859807193477,0.05984968859327779,0.9131,0.1003,0.1492,0.0678,0.0731,0.2667,0.0986,0.23579999999999998,0.0723,0.596,0.1578,0.7162999999999999,0.41479999999999995,0.1586,0.10300000000000001,0.0366,0.0334,0.04781377791758415,0.1174420987907358,0.4318181818181818,0.34469502819067144,0.2346647646219686,0.21075837742504408,0.1235,0.4448,0.1512,0.2805,0.0681,0.0,0.0,0.0,0.201,0.0207,0.1702,0.0,0.2521,0.14859999999999998,0.08689999999999999,0.10473059516693707,0.05984968859327779,0.21075837742504408,0.9761668321747765,0.5952000000000001,0.031400000000000004,0.0375,0.039900000000000005,0.0089,0.8733,0.0,0.4496,0.0,0.0,0.051699999999999996,0.1356,0.0232,0.0473,0.0,0.0,0.4193,0.006464551641740094,0.0036333341047418482,0.2581,0.40950000000000003,0.1202,0.0326,0.052300000000000006,0.2347,0.025699958211450064,0.01331203407880724,0.7199,0.1018,0.1398,0.3118,0.0454,0.1873,0.0669,0.08560000000000001,0.0,0.0794,0.23850000000000002,0.2466,0.1284,0.0239,0.7706000000000001,0.7513,0.1998,0.2836,0.1492,0.0,1.0,0.1873,0.0669,0.2756,0.1945,0.0,0.08689999999999999,0.1072,0.049800000000000004,0.1153,0.1002,0.064,0.23370000000000002,0.1445,0.11599999999999999,0.08560000000000001,0.10439999999999999,0.1356,0.0681,0.0349,0.018799999999999997,0.0454,0.013600000000000001,0.013000000000000001,0.17679999999999998,0.3497,0.201,0.0207,0.1586,0.1235,0.4448,0.3106,0.3428,0.04769999999999999,0.4843,0.5023,0.4089,0.46490000000000004,0.022400000000000003,0.0,0.0,0.0,0.0326,0.0374,0.02105697770437655,0.3685,0.0,0.0204,0.0,0.2805,0.1072,0.12300000000000001,0.0025122523784028663,0.006464551641740094,0.0036333341047418482,0.004202845988095492,0.00404492536394062,0.004202845988095492,0.005491399499313576,0.006319225836539584,2020,39035137101,39035,39,Ohio,Cuyahoga County,Midwest,0
7,78239,0.3192580261977681,0.08447277942434228,1.0,0.018600000000000002,0.2125,0.06280000000000001,0.3111,0.3615,0.1655,0.0712,0.0,0.8306,0.0591,0.11869999999999999,0.4143,0.4143,0.0705,0.0382,0.0,0.055923001188808046,0.10463209674113548,0.36363636363636365,0.26166068682726806,0.16904422253922968,0.260435038212816,0.0256,0.41350000000000003,0.4171,0.1438,0.049,0.0,0.0,0.0,0.3148,0.0,0.0,0.0,0.0,0.0579,0.0,0.09324566646742379,0.08447277942434228,0.260435038212816,0.9860973187686196,0.0,0.0217,0.0191,0.0,0.06,0.1705,0.0,0.7326,0.0,0.2139,0.1105,0.0,0.0518,0.0,0.0241,0.0,0.0,0.027970386806340806,0.006364120247159288,0.21530000000000002,0.2966,0.0,0.0,0.0259,0.3429,0.0,0.0,0.5379,0.011399999999999999,0.0,0.8681,0.1192,0.0696,0.0,0.08869999999999999,0.0,0.1058,0.2596,0.147,0.19690000000000002,0.2293,0.0984,0.7404000000000001,0.1204,0.20079999999999998,0.2125,0.0,0.4462,0.0696,0.0,0.0668,0.0696,0.0241,0.0,0.0824,0.0891,0.0516,0.0239,0.0087,0.36700000000000005,0.08460000000000001,0.1364,0.08869999999999999,0.16920000000000002,0.0,0.049,0.0,0.0758,0.1192,0.0667,0.0302,0.053099999999999994,0.39840000000000003,0.3148,0.0,0.4143,0.0256,0.41350000000000003,0.16760000000000003,0.19899999999999998,0.0444,0.609,0.6511,0.48310000000000003,0.6015,0.048499999999999995,0.0,0.0,0.0,0.0101,0.0125,0.0,0.2207,0.0,0.0375,0.0087,0.1438,0.0824,0.1026,0.017709320044479223,0.027970386806340806,0.006364120247159288,0.028011861839438483,0.02695932488758393,0.028011861839438483,0.08693369942663329,0.030593447592398276,2020,51009010202,51009,51,Virginia,Amherst County,South,0
8,21402,0.09181743985907184,0.01321656963158831,0.7326999999999999,0.0784,0.051399999999999994,0.21030000000000001,0.0076,0.2084,0.0649,0.325,0.23329999999999998,0.2926,0.36869999999999997,0.7706000000000001,0.5670000000000001,0.2737,0.3378,0.0622,0.1054,0.021823410939485175,0.03791760606681697,0.45454545454545453,0.09969246540235777,0.24607703281027105,0.19958847736625515,0.2799,0.2852,0.0073,0.4275,0.11689999999999999,0.0,0.0,0.0,0.43,0.1479,0.031,0.0,1.0,0.3136,0.2673,0.06391426863632482,0.01321656963158831,0.19958847736625515,0.9687189672293942,0.0,0.0,0.030600000000000002,0.0397,0.0,0.8891,0.0,0.6501,0.3529,0.0346,0.0,0.0784,0.0,0.0,0.2053,0.0,0.34990000000000004,0.0072326171833329775,0.001758811413760385,0.109,0.1902,0.0417,0.061799999999999994,0.0,0.4694,0.0036564981195152525,0.0,0.2992,0.0924,0.0087,0.40869999999999995,0.2314,0.33270000000000005,0.195,0.1855,0.3529,0.016200000000000003,0.308,0.0885,0.14150000000000001,0.032400000000000005,0.5435,0.6696,0.2214,0.11349999999999999,0.051399999999999994,0.875,0.0,0.33270000000000005,0.195,0.348,0.3423,0.2053,0.2673,0.2932,0.1036,0.2091,0.1624,0.032400000000000005,0.2027,0.0765,0.2084,0.1855,0.2505,0.0784,0.11689999999999999,0.0197,0.1294,0.2314,0.0703,0.10769999999999999,0.24170000000000003,0.5760000000000001,0.43,0.1479,0.2737,0.2799,0.2852,0.26,0.2818,0.0931,0.23800000000000002,0.2419,0.19079999999999997,0.21230000000000002,0.0173,0.0,0.0,0.0,0.026600000000000002,0.0296,0.023327828241123037,0.385,0.0126,0.0033,0.0206,0.4275,0.2932,0.32030000000000003,0.008751698859190313,0.0072326171833329775,0.001758811413760385,0.007274977065688136,0.007001622076668789,0.007274977065688136,0.006884438342889446,0.007928180016322724,2020,13021012900,13021,13,Georgia,Bibb County,South,0
9,60014,0.1330857932461152,0.023819574050679346,1.0,0.0179,0.0677,0.1493,0.025699999999999997,0.36229999999999996,0.1025,0.16899999999999998,0.0,0.5092,0.174,0.47859999999999997,0.5341,0.2463,0.1373,0.0189,0.0,0.03264319826131717,0.10299241647878664,0.4318181818181818,0.2283444387493593,0.24893009985734665,0.23074661963550852,0.2414,0.45030000000000003,0.0588,0.2495,0.0836,0.0,0.0,0.0,0.18239999999999998,0.042,0.0,0.0,0.3728,0.1563,0.0,0.10011954572624028,0.023819574050679346,0.23074661963550852,0.9687189672293942,0.0,0.0,0.0,0.0,0.0,0.9682,0.0,0.1444,0.0713,0.0,0.0,0.025699999999999997,0.0,0.0,0.0915,0.0,0.8556,0.005483134560815855,0.002568790354307931,0.16940000000000002,0.32899999999999996,0.1148,0.0264,0.0353,0.33490000000000003,0.031236941078144592,0.0,0.5337,0.0992,0.45,0.225,0.1315,0.0906,0.0171,0.20199999999999999,0.0713,0.005,0.2597,0.18289999999999998,0.1629,0.1396,0.4096,0.7313,0.1591,0.2975,0.0677,0.2588,0.0,0.0906,0.0171,0.39289999999999997,0.12119999999999999,0.0915,0.0,0.0652,0.0922,0.1886,0.050300000000000004,0.0661,0.2766,0.11380000000000001,0.06,0.20199999999999999,0.1297,0.025699999999999997,0.0836,0.0,0.092,0.1315,0.022799999999999997,0.0,0.1388,0.45439999999999997,0.18239999999999998,0.042,0.2463,0.2414,0.45030000000000003,0.31980000000000003,0.3821,0.0934,0.4763,0.5246999999999999,0.3267,0.39020000000000005,0.0128,0.009800490024501226,0.0,0.0,0.0836,0.0998,0.03344343517753923,0.4294,0.0,0.028999999999999998,0.0,0.2495,0.0652,0.0779,0.008586960998311436,0.005483134560815855,0.002568790354307931,0.0016640710003626821,0.0019505985257581668,0.002773451667271137,0.005228942905596382,0.0030080447708989155,2020,39095003902,39095,39,Ohio,Lucas County,Midwest,0
